ID,ID_artefact,site,context,municipality,county,country,country_code,paroisse,canton,comte,commune,lat,lng
DK-01,DK_01_01_pseudo_no_1,Stenilgård,Års,NA,NA,Denmark,DK,Aars,Aars,Aalborg,Vesthimmerland,56.80399,9.51441
DK-04,DK_04_01_pseudo_no_1,Lynnerup II,NA,NA,NA,Denmark,DK,Skivum,Aars,Aalborg,Vesthimmerland,56.86606,9.59004
DK-05,DK_05_XX_pseudo_no_1,Blære,Couche 6,NA,NA,Denmark,DK,Blære,Aars,Aalborg,Vesthimmerland,56.8641,9.5159300000000009
DK-05,DK_05_XX_pseudo_no_2,Blære,Couche 6,NA,NA,Denmark,DK,Blære,Aars,Aalborg,Vesthimmerland,56.8641,9.5159300000000009
DK-05,DK_05_XX_pseudo_no_3,Blære,Couche 6,NA,NA,Denmark,DK,Blære,Aars,Aalborg,Vesthimmerland,56.8641,9.5159300000000009
DK-05,DK_05_XX_pseudo_no_4,Blære,Couche 6,NA,NA,Denmark,DK,Blære,Aars,Aalborg,Vesthimmerland,56.8641,9.5159300000000009
DK-05,DK_05_XX_pseudo_no_5,Blære,Couche 6,NA,NA,Denmark,DK,Blære,Aars,Aalborg,Vesthimmerland,56.8641,9.5159300000000009
DK-05,DK_05_XX_pseudo_no_6,Blære,Couche 6,NA,NA,Denmark,DK,Blære,Aars,Aalborg,Vesthimmerland,56.8641,9.5159300000000009
DK-05,DK_05_XX_pseudo_no_7,Blære,Couche 6,NA,NA,Denmark,DK,Blære,Aars,Aalborg,Vesthimmerland,56.8641,9.5159300000000009
DK-05,DK_05_XX_pseudo_no_8,Blære,Couche 6,NA,NA,Denmark,DK,Blære,Aars,Aalborg,Vesthimmerland,56.8641,9.5159300000000009
DK-05,DK_05_XX_pseudo_no_9,Blære,Couche 6,NA,NA,Denmark,DK,Blære,Aars,Aalborg,Vesthimmerland,56.8641,9.5159300000000009
DK-06,DK_06_XX_pseudo_no_1,Fandrup,NA,NA,NA,Denmark,DK,Farsø,Gislum,Aalborg,Vesthimmerland,56.77276,9.33925
DK-06,DK_06_XX_pseudo_no_2,Fandrup,NA,NA,NA,Denmark,DK,Farsø,Gislum,Aalborg,Vesthimmerland,56.77276,9.33925
DK-06,DK_06_XX_pseudo_no_3,Fandrup,NA,NA,NA,Denmark,DK,Farsø,Gislum,Aalborg,Vesthimmerland,56.77276,9.33925
DK-09,DK_09_01_pseudo_no_1,Rold Mark,NA,NA,NA,Denmark,DK,Rold,Hindsted,Aalborg,Mariagerfjord,56.76668,9.8232
