state	power	likelihood
260	3.2e-09	530.947
270	3.2e-09	-4572.57
280	3.2e-09	-2684.74
290	3.2e-09	707.716
300	3.2e-09	-200871
310	3.2e-09	-1956.97
320	3.2e-09	-4005.5
330	3.2e-09	-293.582
340	3.2e-09	-452638
350	3.2e-09	-3056.72
360	3.2e-09	475.228
370	3.2e-09	820.129
380	3.2e-09	-3154.72
390	3.2e-09	-1020.68
400	3.2e-09	-2792.03
410	3.2e-09	297.696
420	3.2e-09	-2856.08
430	3.2e-09	-6974.56
440	3.2e-09	-2023.52
450	3.2e-09	-3.43788e+06
460	3.2e-09	1517.71
470	3.2e-09	-1.01094e+06
480	3.2e-09	-1690.3
490	3.2e-09	-2667.41
500	3.2e-09	-3789.43
510	3.2e-09	-2842.3
520	3.2e-09	-6622.81
530	3.2e-09	930.137
540	3.2e-09	-1251.57
550	3.2e-09	-1226.5
560	3.2e-09	-4160.93
570	3.2e-09	-108102
580	3.2e-09	-2.25647e+07
590	3.2e-09	821.999
600	3.2e-09	-1766.43
610	3.2e-09	-3182.48
620	3.2e-09	-1920.5
630	3.2e-09	-1153.23
640	3.2e-09	529.298
650	3.2e-09	-2891.65
660	3.2e-09	-4028.15
670	3.2e-09	286.757
680	3.2e-09	839.814
690	3.2e-09	-4864.94
700	3.2e-09	-4511.64
710	3.2e-09	-599.789
720	3.2e-09	1016.86
730	3.2e-09	652.299
740	3.2e-09	-2361.07
750	3.2e-09	-2798.51
760	3.2e-09	-1.64743e+07
770	3.2e-09	-2114.85
780	3.2e-09	-610566
790	3.2e-09	-3960.86
800	3.2e-09	-3617.14
810	3.2e-09	-14932
820	3.2e-09	-3220.8
830	3.2e-09	-1211.68
840	3.2e-09	-2423.41
850	3.2e-09	-3611.66
860	3.2e-09	-659.361
870	3.2e-09	-1418.16
880	3.2e-09	983.979
890	3.2e-09	-841.828
900	3.2e-09	-71727.5
910	3.2e-09	901.781
920	3.2e-09	-3014.89
930	3.2e-09	-50166.9
940	3.2e-09	-43294
950	3.2e-09	-1898.22
960	3.2e-09	-23821.8
970	3.2e-09	-763.401
980	3.2e-09	-1803.41
990	3.2e-09	665.153
1000	3.2e-09	1309.5
