Iteration	Posterior	Likelihood	Prior	sigma
0	4026.506	4300.79	-274.2837	0.08435151
100	3977.121	4252.949	-275.8282	0.08843978
200	3964.547	4243.313	-278.7669	0.08653443
300	3916.536	4205.071	-288.5357	0.08621052
400	3971.614	4274.541	-302.9272	0.08077344
500	3928.209	4234.202	-305.993	0.08366269
600	3941.098	4242.866	-301.768	0.07832139
700	3908.737	4216.945	-308.2073	0.07936622
800	3926.293	4225.227	-298.9346	0.08056739
900	3971.611	4261.53	-289.9189	0.08202287
1000	3958.703	4270.907	-312.2044	0.0710955
