Iteration	Posterior	Likelihood	Prior	sigma
0	5374.357	4735.972	638.3853	0.06416629
100	5439.001	4711.211	727.7907	0.06378588
200	5331.975	4718.796	613.1784	0.06483832
300	5214.311	4706.547	507.7638	0.06536615
400	5220.766	4731.839	488.9265	0.06084614
500	5296.604	4722.87	573.7334	0.06090603
600	5322.613	4717.59	605.0232	0.05897491
700	5478.549	4721.354	757.1949	0.05953358
800	5331.101	4720.873	610.2283	0.06006618
900	5083.17	4694.326	388.8438	0.06019083
1000	5130.422	4684.323	446.0997	0.05720916
1100	5193.329	4685.779	507.5501	0.0630475
1200	5040.239	4688.816	351.4227	0.06452176
1300	4840.726	4704.966	135.7598	0.06217005
1400	4855.698	4715.065	140.6324	0.05944805
1500	4870.232	4711.852	158.3804	0.06149543
1600	4993.17	4698.029	295.1407	0.06247939
1700	4927.267	4717.964	209.3035	0.06043037
1800	4983.898	4720.836	263.0623	0.05832938
1900	4954.892	4738.826	216.0651	0.06306378
2000	4913.247	4727.492	185.7554	0.06148701
2100	4833.273	4731.757	101.5153	0.06306647
2200	4811.47	4727.629	83.84073	0.06043628
2300	4874.781	4729.545	145.2364	0.06367307
2400	5024.292	4724.083	300.209	0.06177995
2500	5103.028	4726.761	376.2671	0.06165037
2600	5057	4730.812	326.1885	0.06042065
2700	5072.447	4730.228	342.2194	0.06208534
2800	5182.897	4727.04	455.8575	0.05847115
2900	5082.126	4722.51	359.6159	0.05950719
3000	4849.124	4718.492	130.6324	0.06074001
3100	4850.429	4732.512	117.9173	0.06223256
3200	4934.002	4716.325	217.6768	0.06444519
3300	5021.503	4703.375	318.1273	0.05930992
3400	5136.82	4726.346	410.474	0.05992293
3500	5158.179	4726.713	431.4651	0.06250502
3600	5144.13	4733.261	410.869	0.06235603
3700	5317.808	4706.608	611.1998	0.05953759
3800	5477.01	4734.358	742.6517	0.06410641
3900	5362.859	4727.095	635.7637	0.06458793
4000	5422.512	4736.451	686.0611	0.06575765
4100	5543.904	4714.222	829.682	0.06245213
4200	5577.839	4700.21	877.6291	0.06131995
4300	5423.01	4708.9	714.11	0.06215718
4400	5478.321	4703.541	774.7794	0.06265832
4500	5495.907	4709.584	786.3229	0.06153178
