state	power	likelihood
260	1	1615.97
270	1	1623.38
280	1	1630.91
290	1	1622.97
300	1	1617.29
310	1	1617.97
320	1	1627.24
330	1	1624.49
340	1	1622.45
350	1	1620.41
360	1	1627.68
370	1	1624.63
380	1	1611.95
390	1	1617.58
400	1	1627.91
410	1	1626.14
420	1	1627.2
430	1	1639.18
440	1	1640.18
450	1	1635.93
460	1	1637.83
470	1	1630.63
480	1	1631.55
490	1	1639
500	1	1641.1
510	1	1636.5
520	1	1636.41
530	1	1627.66
540	1	1629.33
550	1	1619.56
560	1	1620.16
570	1	1620.37
580	1	1634.25
590	1	1627.82
600	1	1622.34
610	1	1624.01
620	1	1627.76
630	1	1630.17
640	1	1641.13
650	1	1638.71
660	1	1637.15
670	1	1629.62
680	1	1630.76
690	1	1630.94
700	1	1636.42
710	1	1638.13
720	1	1634.81
730	1	1628.81
740	1	1647.25
750	1	1650.47
760	1	1642.82
770	1	1643.8
780	1	1632.64
790	1	1633.99
800	1	1630.41
810	1	1632.08
820	1	1633.51
830	1	1640
840	1	1657.15
850	1	1652.37
860	1	1650.09
870	1	1649.94
880	1	1647.38
890	1	1640.68
900	1	1634.75
910	1	1638.46
920	1	1645.65
930	1	1640.91
940	1	1632.28
950	1	1634.59
960	1	1643.05
970	1	1644.22
980	1	1635.27
990	1	1645.79
1000	1	1653.99
260	0.903921	1627.83
270	0.903921	1632.03
280	0.903921	1625.84
290	0.903921	1625.92
300	0.903921	1620.52
310	0.903921	1625.41
320	0.903921	1621.9
330	0.903921	1618.15
340	0.903921	1617.21
350	0.903921	1617.46
360	0.903921	1633.73
370	0.903921	1626.76
380	0.903921	1622.86
390	0.903921	1627.17
400	0.903921	1620.89
410	0.903921	1616.3
420	0.903921	1621.41
430	0.903921	1609.99
440	0.903921	1615.71
450	0.903921	1617.45
460	0.903921	1622.16
470	0.903921	1612.99
480	0.903921	1618.32
490	0.903921	1631.05
500	0.903921	1631.41
510	0.903921	1636.53
520	0.903921	1645.59
530	0.903921	1634.73
540	0.903921	1630.19
550	0.903921	1624.16
560	0.903921	1617.37
570	0.903921	1624.57
580	0.903921	1615.77
590	0.903921	1613.64
600	0.903921	1621.81
610	0.903921	1621.5
620	0.903921	1612.91
630	0.903921	1621.25
640	0.903921	1615.03
650	0.903921	1617.85
660	0.903921	1615.68
670	0.903921	1605.62
680	0.903921	1608.48
690	0.903921	1601.29
700	0.903921	1608.93
710	0.903921	1607.6
720	0.903921	1614.61
730	0.903921	1611.28
740	0.903921	1604.26
750	0.903921	1620.13
760	0.903921	1620.09
770	0.903921	1618.9
780	0.903921	1626.28
790	0.903921	1628.73
800	0.903921	1630.53
810	0.903921	1620.68
820	0.903921	1626.79
830	0.903921	1628.74
840	0.903921	1622.78
850	0.903921	1629.3
860	0.903921	1617.68
870	0.903921	1628.88
880	0.903921	1623.45
890	0.903921	1629.58
900	0.903921	1637.53
910	0.903921	1627.88
920	0.903921	1607.79
930	0.903921	1617.36
940	0.903921	1603.98
950	0.903921	1619.3
960	0.903921	1623.33
970	0.903921	1626.17
980	0.903921	1628.33
990	0.903921	1625
1000	0.903921	1630.42
260	0.815373	1563.26
270	0.815373	1576.04
280	0.815373	1566.51
290	0.815373	1556.54
300	0.815373	1566.79
310	0.815373	1568.46
320	0.815373	1572.42
330	0.815373	1569.77
340	0.815373	1567.7
350	0.815373	1543.43
360	0.815373	1539.99
370	0.815373	1552.63
380	0.815373	1549.91
390	0.815373	1555.51
400	0.815373	1558.66
410	0.815373	1558.75
420	0.815373	1539.72
430	0.815373	1526.92
440	0.815373	1522.88
450	0.815373	1547.58
460	0.815373	1535.91
470	0.815373	1538.95
480	0.815373	1536.41
490	0.815373	1540.35
500	0.815373	1547.81
510	0.815373	1538.67
520	0.815373	1543.31
530	0.815373	1535.92
540	0.815373	1544.41
550	0.815373	1538.99
560	0.815373	1541.17
570	0.815373	1540.7
580	0.815373	1542.44
590	0.815373	1542.43
600	0.815373	1536.53
610	0.815373	1558.27
620	0.815373	1556.38
630	0.815373	1563.45
640	0.815373	1550.97
650	0.815373	1545.3
660	0.815373	1541.07
670	0.815373	1540.44
680	0.815373	1517.95
690	0.815373	1516.4
700	0.815373	1535.34
710	0.815373	1533.65
720	0.815373	1550.11
730	0.815373	1547.7
740	0.815373	1525.81
750	0.815373	1538.73
760	0.815373	1542.88
770	0.815373	1531.43
780	0.815373	1538.72
790	0.815373	1536.84
800	0.815373	1519.76
810	0.815373	1540.87
820	0.815373	1544.94
830	0.815373	1542.71
840	0.815373	1535.64
850	0.815373	1556.73
860	0.815373	1560.49
870	0.815373	1568.18
880	0.815373	1549.73
890	0.815373	1564.27
900	0.815373	1566.17
910	0.815373	1551.32
920	0.815373	1547.49
930	0.815373	1538.33
940	0.815373	1537.14
950	0.815373	1527.68
960	0.815373	1535.63
970	0.815373	1541.93
980	0.815373	1537.11
990	0.815373	1537.36
1000	0.815373	1524.12
260	0.733904	1514.77
270	0.733904	1510.78
280	0.733904	1515.3
290	0.733904	1525.41
300	0.733904	1524.22
310	0.733904	1544.89
320	0.733904	1545.09
330	0.733904	1543.88
340	0.733904	1544.41
350	0.733904	1556.57
360	0.733904	1536.95
370	0.733904	1544.28
380	0.733904	1539.07
390	0.733904	1531.55
400	0.733904	1522.99
410	0.733904	1527.31
420	0.733904	1536.71
430	0.733904	1537.91
440	0.733904	1542.87
450	0.733904	1531.25
460	0.733904	1540.2
470	0.733904	1519.74
480	0.733904	1517.29
490	0.733904	1504.76
500	0.733904	1508.44
510	0.733904	1512.56
520	0.733904	1521.34
530	0.733904	1525.32
540	0.733904	1508.96
550	0.733904	1517.3
560	0.733904	1528.94
570	0.733904	1515.38
580	0.733904	1532.77
590	0.733904	1522.35
600	0.733904	1525.42
610	0.733904	1526.97
620	0.733904	1538.68
630	0.733904	1551.53
640	0.733904	1545.86
650	0.733904	1546.52
660	0.733904	1539.54
670	0.733904	1552.25
680	0.733904	1559.17
690	0.733904	1554
700	0.733904	1585.93
710	0.733904	1590.6
720	0.733904	1565.04
730	0.733904	1553.46
740	0.733904	1556.36
750	0.733904	1543.32
760	0.733904	1544.07
770	0.733904	1548.45
780	0.733904	1552.79
790	0.733904	1538.29
800	0.733904	1556.45
810	0.733904	1544.51
820	0.733904	1535.04
830	0.733904	1537.46
840	0.733904	1545.52
850	0.733904	1553.94
860	0.733904	1538.42
870	0.733904	1534.83
880	0.733904	1538.33
890	0.733904	1542.93
900	0.733904	1539.35
